date,residual,acf_1,acf_7
2023-06-20,4.360000000000014,0.7829059828148329,0.019693987900324804
2023-06-21,5.819999999999993,0.7829059828148329,0.019693987900324804
2023-06-22,-3.200000000000003,0.7829059828148329,0.019693987900324804
2023-06-23,1.5999999999999943,0.7829059828148329,0.019693987900324804
2023-06-24,4.409999999999997,0.7829059828148329,0.019693987900324804
2023-06-25,0.25,0.7829059828148329,0.019693987900324804
2023-06-26,-9.560000000000002,0.7829059828148329,0.019693987900324804
2023-06-27,0.09999999999999432,0.7829059828148329,0.019693987900324804
2023-06-28,0.009999999999990905,0.7829059828148329,0.019693987900324804
2023-06-29,-0.4300000000000068,0.7829059828148329,0.019693987900324804
2023-06-30,19.94999999999999,0.7829059828148329,0.019693987900324804
2023-07-01,16.78,0.7829059828148329,0.019693987900324804
2023-07-02,25.400000000000006,0.7829059828148329,0.019693987900324804
2023-07-03,17.060000000000002,0.7829059828148329,0.019693987900324804
2023-07-04,19.5,0.7829059828148329,0.019693987900324804
2023-07-05,27.939999999999998,0.7829059828148329,0.019693987900324804
2023-07-06,22.810000000000002,0.7829059828148329,0.019693987900324804
2023-07-07,22.25999999999999,0.7829059828148329,0.019693987900324804
2023-07-08,20.460000000000008,0.7829059828148329,0.019693987900324804
2023-07-09,27.49000000000001,0.7829059828148329,0.019693987900324804
2023-07-10,26.330000000000013,0.7829059828148329,0.019693987900324804
2023-07-11,26.909999999999997,0.7829059828148329,0.019693987900324804
2023-07-12,23.580000000000013,0.7829059828148329,0.019693987900324804
2023-07-13,27.50999999999999,0.7829059828148329,0.019693987900324804
2023-07-14,27.620000000000005,0.7829059828148329,0.019693987900324804
2023-07-15,5.550000000000011,0.7829059828148329,0.019693987900324804
2023-07-16,7.390000000000015,0.7829059828148329,0.019693987900324804
2023-07-17,-0.7800000000000011,0.7829059828148329,0.019693987900324804
2023-07-18,7.340000000000003,0.7829059828148329,0.019693987900324804
2023-07-19,8.580000000000013,0.7829059828148329,0.019693987900324804
